rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee
280;LICEO COMERCIAL JERARDO MUNOZ CAMPOS;ANTOFAGASTA;ANTOF;131000000133;280_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1681;0;1615;Non;Oui;41002|41003|41005;3;Fonctionne;Avec matrícula;360;336;282;54;0;223;0.6194;-23,6527;-70,399529
12830;LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.;ANTOFAGASTA;ANTOF;131000000133;12830_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Laïque;;773;0;773;Non;Oui;41002|41005;2;Fonctionne;Avec matrícula;200;194;164;30;0;244;1.2200;-23,641199;-70,390808
284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;ANTOFAGASTA;ANTOF;131000000133;284_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1204;631;0;Oui;Non;;0;Fonctionne;Avec matrícula;180;128;117;11;0;33;0.1833;-23,653629;-70,398857
287;LICEO DOMINGO HERRERA RIVERA;ANTOFAGASTA;ANTOF;131000000133;287_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1024;966;0;Oui;Non;;0;Fonctionne;Avec matrícula;270;239;210;29;0;417;1.5444;-23,63081;-70,38768
336;LICEO EXPERIMENTAL ARTISTICO-APLICACION;ANTOFAGASTA;ANTOF;131000000133;336_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Laïque;;1335;497;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;12;12;0;0;158;1.1704;-23,65575;-70,400574
279;LICEO INDUSTRIAL EULOGIO GORDO MONEO;ANTOFAGASTA;ANTOF;131000000133;279_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;2060;0;1689;Non;Oui;51003|51009|52008|52009|52010|52013|53014|53015|54018|54019|56027;11;Fonctionne;Avec matrícula;416;379;316;63;0;618;1.4856;-23,61371;-70,38282
286;LICEO LA PORTADA;ANTOFAGASTA;ANTOF;131000000133;286_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;923;547;300;Oui;Oui;55022|58035|61003|64001;4;Fonctionne;Avec matrícula;210;203;171;32;0;268;1.2762;-23,60877;-70,381821
10968;LICEO MAYOR GRAL.(E) OSCAR BONILLA;ANTOFAGASTA;ANTOF;131000000133;10968_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Catholique;;922;508;414;Oui;Oui;52013|56027;2;Fonctionne;Avec matrícula;245;227;190;37;0;313;1.2776;-23,589291;-70,384232
31345;LICEO POLITÉCNICO LOS ARENALES;ANTOFAGASTA;ANTOF;131000000133;31345_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Autre;ENSEÑANZA VALORICA;943;489;454;Oui;Oui;41005|51006|52010|55022|55023;5;Fonctionne;Avec matrícula;252;252;214;38;0;230;0.9127;-23,580839;-70,376823
283;LICEO TECNICO ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000133;283_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Corporation municipale;Municipal;Urbain;Avec PIE;Avec PACE;Gratuit;Gratuit;Laïque;;1229;0;1021;Non;Oui;61002|61003|62004|62006|62007|63009|64001|64008;8;Fonctionne;Avec matrícula;245;233;196;37;0;527;2.1510;-23,650841;-70,401947
31340;NETLAND SCHOOL;ANTOFAGASTA;ANTOF;131000000133;31340_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;2047;620;0;Oui;Non;;0;Fonctionne;Avec matrícula;154;6;6;0;0;240;1.5584;-23,558861;-70,395622
12891;NEW HEAVEN HIGH SCHOOL;ANTOFAGASTA;ANTOF;131000000133;12891_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;2145;623;0;Oui;Non;;0;Fonctionne;Avec matrícula;225;48;48;0;0;241;1.0711;-23,57077;-70,383774
12970;NORTH COLLEGE;ANTOFAGASTA;ANTOF;131000000133;12970_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;MAS DE $100.000;Laïque;;944;299;0;Oui;Non;;0;Fonctionne;Avec matrícula;86;5;5;0;0;174;2.0233;-23,593519;-70,390182
12963;THE ANTOFAGASTA BAPTIST COLLEGE;ANTOFAGASTA;ANTOF;131000000133;12963_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Évangélique;;1750;517;0;Oui;Non;;0;Fonctionne;Avec matrícula;136;6;6;0;0;234;1.7206;-23,581181;-70,390083
12958;THE GIANT SCHOOL ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000133;12958_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;629;240;0;Oui;Non;;0;Fonctionne;Avec matrícula;64;14;13;1;0;92;1.4375;-23,649111;-70,399513
253;COLEGIO ADVENTISTA DE CALAMA;CALAMA;ANTOF;131000000131;253_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Autre;ADVENTISTA;1065;324;0;Oui;Non;;0;Fonctionne;Avec matrícula;85;4;4;0;0;66;0.7765;-22,465719;-68,926689
12823;COLEGIO CALAMA;CALAMA;ANTOF;131000000133;12823_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;Gratuit;Laïque;;1054;319;0;Oui;Non;;0;Fonctionne;Avec matrícula;88;27;27;0;0;29;0.3295;-22,44392;-68,929047
12838;COLEGIO ECOLOGICO MONTESSORI;CALAMA;ANTOF;131000000133;12838_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Évangélique;;974;303;0;Oui;Non;;0;Fonctionne;Avec matrícula;76;9;9;0;0;62;0.8158;-22,472321;-68,937271
255;COLEGIO EJERCITO DE SALVACION;CALAMA;ANTOF;131000000133;255_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;1189;377;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;26;26;0;0;59;0.4370;-22,4599;-68,930656
10962;COLEGIO JUAN PABLO II;CALAMA;ANTOF;131000000133;10962_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;1317;459;0;Oui;Non;;0;Fonctionne;Avec matrícula;117;16;16;0;0;96;0.8205;-22,446951;-68,923523
12851;COLEGIO PADRE ALBERTO HURTADO;CALAMA;ANTOF;131000000133;12851_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$25.001 A $50.000;Catholique;;623;175;0;Oui;Non;;0;Fonctionne;Avec matrícula;45;5;5;0;0;94;2.0889;-22,468269;-68,932907
