rbd;program_code;lat;lon;total_capacity;total_admission_seats;integration_student_seats;priority_student_seats;high_selectivity_seats_transitional;high_selectivity_seats_ranking;regular_seats;true_applicants_last_year;calibration_2024_imputed;calibration_2024_imputation_method;program_lottery_population_2024;priority_share_priority_sibling_2024;cum_share_before_priority_sibling_2024;cum_share_through_priority_sibling_2024;priority_share_priority_student_2024;cum_share_before_priority_student_2024;cum_share_through_priority_student_2024;priority_share_priority_parent_civil_servant_2024;cum_share_before_priority_parent_civil_servant_2024;cum_share_through_priority_parent_civil_servant_2024;priority_share_priority_ex_student_2024;cum_share_before_priority_ex_student_2024;cum_share_through_priority_ex_student_2024;priority_share_no_priority_2024;cum_share_before_no_priority_2024;cum_share_through_no_priority_2024
134;131000000131;-20,21558;-70,15439;32;8;0;0;0;0;8;19;FALSE;observed_2024_program_match;39;0.0512820513;0;0.0512820513;0.0256410256;0.0512820513;0.0769230769;0;0.0769230769;0.0769230769;0;0.0769230769;0.0769230769;0.9230769231;0.0769230769;1
144;131000000131;-20,22363;-70,14304;39;8;0;0;0;0;8;28;FALSE;observed_2024_program_match;52;0.0192307692;0;0.0192307692;0.0192307692;0.0192307692;0.0384615385;0;0.0384615385;0.0384615385;0;0.0384615385;0.0384615385;0.9615384615;0.0384615385;1
161;131000000133;-19,99688;-69,77264;50;27;0;0;0;0;27;14;FALSE;observed_2024_program_match;20;0.15;0;0.15;0.2;0.15;0.35;0;0.35;0.35;0.05;0.35;0.4;0.6;0.4;1
178;131000000133;-19,27648;-68,63914;20;8;0;0;0;0;8;1;FALSE;observed_2024_program_match;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1
191;131000000133;-20,25315;-69,78509;232;225;0;35;0;0;190;205;FALSE;observed_2024_program_match;243;0.3209876543;0;0.3209876543;0.1358024691;0.3209876543;0.4567901235;0.0041152263;0.4567901235;0.4609053498;0;0.4609053498;0.4609053498;0.5390946502;0.4609053498;1
199;131000000133;-22,08858;-70,19479;175;150;0;16;0;0;134;99;FALSE;observed_2024_program_match;221;0.0904977376;0;0.0904977376;0.0995475113;0.0904977376;0.1900452489;0.0045248869;0.1900452489;0.1945701357;0.0135746606;0.1945701357;0.2081447964;0.7918552036;0.2081447964;1
200;131000000133;-22,08497;-70,19575;190;170;0;29;0;0;141;268;FALSE;observed_2024_program_match;314;0.178343949;0;0.178343949;0.0796178344;0.178343949;0.2579617834;0.0031847134;0.2579617834;0.2611464968;0;0.2611464968;0.2611464968;0.7388535032;0.2611464968;1
208;131000000133;-22,09469;-70,20492;126;43;0;0;0;0;43;124;FALSE;observed_2024_program_match;245;0.0857142857;0;0.0857142857;0.0244897959;0.0857142857;0.1102040816;0;0.1102040816;0.1102040816;0.0367346939;0.1102040816;0.1469387755;0.8530612245;0.1469387755;1
211;131000000133;-22,34669;-69,66712;90;90;0;14;0;0;76;58;FALSE;observed_2024_program_match;58;0.2068965517;0;0.2068965517;0.224137931;0.2068965517;0.4310344828;0;0.4310344828;0.4310344828;0;0.4310344828;0.4310344828;0.5689655172;0.4310344828;1
217;131000000133;-22,4551;-68,92665;280;273;0;42;0;0;231;598;FALSE;observed_2024_program_match;995;0.0492462312;0;0.0492462312;0.040201005;0.0492462312;0.0894472362;0;0.0894472362;0.0894472362;0;0.0894472362;0.0894472362;0.9105527638;0.0894472362;1
