rbd,Region
8409,Región de Aysén del Gral.Ibañez del Campo
8411,Región de Magallanes y Antártica Chilena
8421,Región de Magallanes y Antártica Chilena
8422,Región de Magallanes y Antártica Chilena
8424,Región de Magallanes y Antártica Chilena
8425,Región de Magallanes y Antártica Chilena
8427,Región de Magallanes y Antártica Chilena
8429,Región de Magallanes y Antártica Chilena
8430,Región de Magallanes y Antártica Chilena
8442,Región de Magallanes y Antártica Chilena
8454,Región de Magallanes y Antártica Chilena
8455,Región de Magallanes y Antártica Chilena
8457,Región de Magallanes y Antártica Chilena
8458,Región de Magallanes y Antártica Chilena
8474,Región de Magallanes y Antártica Chilena
8483,Región de Magallanes y Antártica Chilena
8485,Región Metropolitana de Santiago
8487,Región Metropolitana de Santiago
8488,Región Metropolitana de Santiago
8489,Región Metropolitana de Santiago
8490,Región Metropolitana de Santiago
8491,Región Metropolitana de Santiago
8492,Región Metropolitana de Santiago
8494,Región Metropolitana de Santiago
8495,Región Metropolitana de Santiago
8496,Región Metropolitana de Santiago
8497,Región Metropolitana de Santiago
8498,Región Metropolitana de Santiago
8499,Región Metropolitana de Santiago
8500,Región Metropolitana de Santiago
8501,Región Metropolitana de Santiago
8502,Región Metropolitana de Santiago
8503,Región Metropolitana de Santiago
8504,Región Metropolitana de Santiago
8505,Región Metropolitana de Santiago
8506,Región Metropolitana de Santiago
8507,Región Metropolitana de Santiago
8508,Región Metropolitana de Santiago
8510,Región Metropolitana de Santiago
8514,Región Metropolitana de Santiago
8518,Región Metropolitana de Santiago
8535,Región Metropolitana de Santiago
8542,Región Metropolitana de Santiago
8589,Región Metropolitana de Santiago
8592,Región Metropolitana de Santiago
8598,Región Metropolitana de Santiago
8601,Región Metropolitana de Santiago
8603,Región Metropolitana de Santiago
